,KY,MT,ND,Portfolio,WV,WY
213,246979.23634999996,603127.3981981477,497989.4778231678,396789.500477474,139297.75445166236,496553.6355643922
214,237469.1661104325,541512.3918250379,509495.38891167403,381961.7932667252,145729.30603382035,475602.7134526612
215,225059.04191402794,560555.166187875,484170.8105690645,383153.73486762214,157477.63441822203,488506.0212489211
216,239029.6117571218,600236.1143236038,489627.7555477008,393118.06521367753,153288.77573879663,483408.06870116445
217,253927.8816107921,568038.3594577345,479302.3992988916,386974.9274230344,139920.38423333876,493685.612514415
218,235160.0990120359,592783.355099237,512317.6389852866,392693.5741328061,147209.02086291317,475997.75670455775
219,230722.39812517114,604921.8411207008,517484.19683582627,397200.65942855796,154969.731798019,477905.12926307245
220,243748.58115132287,651358.5428132635,474848.50475869124,398375.1825499313,151437.942867927,470482.3411584517
221,219210.82426770704,579267.0591015803,503263.3135458832,390243.7774532455,144853.22121959916,504624.46913145727
222,221222.15388484177,577372.7720604755,479376.95853436965,380882.85964773817,143525.77335754348,482916.6404014601
223,231326.02697844058,519534.5418809816,470653.52535822854,368842.0648193008,145185.31190375125,477510.9179751017
224,236023.86627252007,623082.1522624089,503417.1807823372,394285.7076963213,141963.8979829604,466941.44118138007
225,222020.90016419304,619449.96350336,498554.0833135237,391318.90121483477,154584.20558710676,461985.3535059902
226,233129.83180461617,611052.6690615595,464881.14451187005,389341.3832923044,146295.48664579925,491347.78443767695
227,223454.8944025087,551907.391864957,477670.08310668997,373278.4878991354,155958.36215802436,457401.7079634967
228,235369.0016000179,585431.9269487744,464614.51995849254,382219.91957150924,137189.71006684875,488494.4392834126
229,227307.55664941116,578627.7165844601,476625.7019486434,380175.0339838526,148055.5698032079,470258.6249335405
230,242575.0087588675,582447.4709695134,480818.9277805967,375932.5111714031,150848.83488825927,422972.31345977826
231,232869.63975109576,550348.9979412887,482049.5012626505,383416.2765231128,143391.08415364008,508422.15950688865
232,235302.1699546444,542493.828706803,540381.2864898267,384640.5338249357,146499.00192825444,458526.38204514957
233,230850.24839784903,552807.4870920014,457065.56348707905,374798.670779545,156883.94974293263,476386.1051778629
234,229782.8548649998,564732.7590274588,509523.1863765934,370838.5810542005,144897.9987566331,405256.1062453172
235,229405.7537626674,564487.2519701022,506316.8877640395,380872.94878948556,149955.1136508104,454199.7367998081
236,247193.54523901327,575997.2915506138,496194.04665298393,395040.7206942105,150510.76560543405,505307.954423007
237,238613.3233423628,574134.6431133182,471798.48783393373,384814.75346830045,157663.9738319232,481863.3392199643
238,233932.64851005864,599436.7090759051,482252.8540763059,383486.8215333668,147882.19929700633,453929.6967075579
239,237832.10937234617,579974.2951568853,525950.7068534726,394215.0658413047,150544.1076160974,476774.11020772206
240,241252.0712497353,593615.4429590816,497895.33091255336,387354.4123509107,151777.58336234986,452231.63327083323
241,215555.6439371811,563580.7507441719,448441.05760354415,374390.1903471983,163779.3725526125,480594.1268984816
242,242373.09260253306,632158.670362155,462070.8090514056,399032.9378009398,153869.5660893719,504692.5508992331
243,239065.7564464342,575101.1894501926,499228.135567335,396585.8956157544,165363.94599979895,504170.4506150112
244,231930.49674493042,566049.4779930154,449271.84674543084,369343.5566851158,149534.02746314186,449931.9344790603
245,247972.28683406583,664319.9954265659,496174.183694135,402470.91926812625,146394.0819246304,457494.0484612339
246,236756.66724989275,585463.8092339633,494597.5091273324,386339.2208262144,149319.48493756453,465558.6335823191
247,229157.10409564065,571493.6755177497,506203.06572539423,380671.7071947394,155845.64412896291,440659.0465059495
248,232582.85227421086,561442.063997255,513836.45875253103,386475.21779408475,157388.04538760078,467126.66855882586
249,229870.1584215741,540361.1921473389,481321.1680324767,377226.5322786906,150349.04470899614,484231.098083067
250,238778.71952085278,570703.2764999309,462056.51664634445,376663.3823856006,148658.41698699235,463119.98227388255
251,218614.3111223119,588420.6628125024,473555.64321077405,377448.5341443645,153270.85908680054,453381.19448943343
252,226481.0273625132,570914.5084487445,516890.6181050489,389817.2314191394,147207.4808800784,487592.5222993118
253,225868.6771534508,618447.4471223042,440787.6175624471,378892.94130297133,139338.83377710462,470022.13089954987
254,231672.48360496765,560833.8113130679,530520.1377730891,382484.8305857651,144196.19139146988,445201.52884623094
255,232653.47724639435,597197.928191315,481277.29264463094,385981.5655918517,157259.6480292437,461519.4818476744
256,234061.65654772552,593034.6909697312,526543.6376322339,388880.96537489793,148899.89382588814,441864.9478989109
257,244026.90566038614,578715.2561404082,495380.35475436214,390460.5074564293,160856.28270588472,473323.73802110524
258,227049.32464948247,585559.4294450651,531008.6101248926,396386.17734678206,156228.43613654404,482085.08637792617
259,236031.12633797515,581282.4549629231,519111.3496510949,386185.50773962156,153258.52241972892,441244.0853263858
260,228403.25221605774,537931.8569364502,531337.9628158035,381733.42422863265,148610.51564823705,462383.53352661466
261,219726.0377476545,600921.9851733131,508860.74766276876,387430.3249831812,148802.57549675295,458840.2788354165
262,236234.4574792717,577559.9117501953,456875.02030934254,372411.7680329097,150872.01621157464,440517.4344141642
263,238664.30974230304,613509.411961483,481754.15386551834,380944.79830886517,148499.85221314267,422296.2637618788
264,227042.82358451677,621197.4181470807,464689.29304458253,387065.28770778934,159291.32799762674,463105.57576513954
265,231549.47890540483,543439.7897155182,492477.3885472606,378817.3574389637,146038.64567760407,480581.48434903094
266,238154.90505931817,565132.2925538503,492644.7435145251,377254.0508431487,145388.60921380066,444949.70387424924
267,226928.3337901158,597322.6569253277,466643.33557855594,384305.24643899966,147361.5958989042,483270.3100020943
268,239251.83656161156,601621.8839654607,483515.0745291452,391059.5171402699,152281.11161907855,478627.6790260534
269,246519.91664754783,558691.599822427,480570.8299524975,383142.63055590226,156098.86720541277,473831.93915162614
270,220347.76468126674,543474.3988056856,507670.560146822,370891.55013255536,145449.8143104769,437515.2127185255
271,232013.96917354755,591575.7377900176,460060.31078039814,381269.5128493176,144330.21360324492,478367.3328993796
272,216521.41797561763,519563.0640457098,466724.0958097982,369540.7306690319,162639.91241659148,482255.1630974424
273,227579.8253873877,565178.6580564032,504030.2269253084,381732.50943916175,150917.26222844582,460956.57459826354
274,224761.5260186788,571532.9864152474,508782.4907800361,385725.2401247187,152327.42330569454,471221.7741039365
275,224511.91266674112,645409.9926308661,471814.3373145074,388965.26715861016,142984.6323565046,460105.4608244314
276,226741.88608757104,555770.3749984914,503742.95250250865,383197.50110706384,140012.23942726944,489720.0525194786
277,242529.85599240297,585951.606897567,512285.447884338,390169.69509174797,149022.5751639875,461058.9895204441
278,235860.17928738528,576522.0675666387,504785.6475357355,388675.57420985133,149530.6744110655,476679.3022484314
