Company Name,Ticker,Market Cap (mil),S&P 500 - ETF,Exchange,F(1) Consensus Sales Est. ($mil),P/E (F1)
Fulton Financial Corporation,FULT,1715.42,NO,NSDQ,855.59997,30.26
"Fvcbankcorp, Inc.",FVCB,138.86,NO,NSDQ,51.59999,10.06
Forward Air Corporation,FWRD,1405.33,NO,NSDQ,1360.40002,21.41
"German American Bancorp, Inc.",GABC,740.39,NO,NSDQ,196.3,14.94
Gladstone Investment Corporation,GAIN,337.1,NO,NSDQ,58.31299,12.22
Garrison Capital Inc.,GARS,32.74,NO,NSDQ,33.38999,3.4
"StealthGas, Inc.",GASS,82,NO,NSDQ,135.69,19
"Glacier Bancorp, Inc.",GBCI,3039.67,NO,NSDQ,671.05297,15.68
"Golub Capital BDC, Inc.",GBDC,1474.54,NO,NSDQ,328.23001,8.77
ChaSerg Technology Acquisition Corp.,GDYN,233.56,NO,NSDQ,141.25,26.21
"Great Elm Capital Group, Inc.",GECC,35.32,NO,NSDQ,27.59399,3.71
"Guaranty Federal Bancshares, Inc.",GFED,62.72,NO,NSDQ,39,7.84
